
テリー伊藤,てりーいとう,770,818,22
やりつくされた近藤真彦のまねをあえてやる,やりつくされたこんどうまさひこのまねをあえてやる,818,872,22
ウメ,うめ,872,950,22
ファミコン ドラクエⅠの歩き方,ふぁみこんどらくえⅠのあるきかた,950,1014,22
ファミコン カラテカのお辞儀,ふぁみこんからてかのおじぎ,1014,1089,22
ファミコン クルクルランドの面クリしたところ,ふぁみこんくるくるらんどのめんくりしたところ,1089,1145,22
授業中にいねむりしてる生徒を注意する先生,じゅぎょうちゅうにいねむりしてるせいとをちゅういするせんせい,1145,1189,22
恥も外聞もなく8.6秒バズーカのまねをあえてやる,はじもがいぶんもなく8.6びょうばずーかのまねをあえてやる,1189,1247,22
顔もトルネードの野茂,かおもとるねーどののも,1247,1274,22
誇張しすぎた都はるみ,こちょうしすぎたみやこはるみ,1274,1316,22
デーモン小暮,でーもんこぐれ,1316,1399,22
アグネス・チャン,あぐねすちゃん,1399,1428,22
ファミコン けっきょく南極大冒険のアザラシに当たったところ,ふぁみこんけっきょくなんきょくだいぼうけんのあざらしにあたったところ,1428,1467,22
ファミコン 初期のテニスのサーブ,ふぁみこんしょきのてにすのさーぶ,1467,1502,22
ファミコン ドンキーコングJr.の4面の鍵さした音,ふぁみこんどんきーこんぐじゅにあの4めんのかぎさしたおと,1502,1537,22
ファミコン 10ヤードファイトの走ってるところ,ふぁみこん10やーどふぁいとのはしってるところ,1537,1579,22
金八先生REMIX,きんぱちせんせいりみっくす,1579,1681,22
いっこく堂,いっこくどう,1681,1732,22
とにかく明るい安村,とにかくあかるいやすむら,1732,1784,22
ウィッシュをスーパー誇張,うぃっしゅをすーぱーこちょう,1784,1816,22
宋兄弟,そうきょうだい,1816,1853,22
救急車のサイレンのまね,きゅうきゅうしゃのさいれんのまね,1853,1888,22
北斗の拳サウザー,ほくとのけんさうざー,1888,1916,22
玉置浩二,たまきこうじ,1920,1966,22
じゅんいちダビッドソン,じゅんいちだびっどそん,233,300,23
やりつくされた郷ひろみのまねをあえてやる,やりつくされたごうひろみのまねをあえてやる,300,360,23
YOU,YOU,360,407,23
恥も外聞もなく楽しんごのまねをあえてやる,はじもがいぶんもなくたのしんごのまねをあえてやる,407,466,23
松山千春,まつやまちはる,466,538,23
渡辺謙の顔まね,わたなべけんのかおまね,538,578,23
長澤まさみのまねをしている福田彩乃,ながさわまさみのまねをしているふくだあやの,578,615,23
昔のですよ。,むかしのですよ。,615,713,23
何の音もしない関根勤の笑い方,なんのおともしないせきねつとむのわらいかた,713,747,23
金田朋子,かねだともこ,747,797,23
爆笑問題太田さんの登場シーン,ばくしょうもんだいおおたさんのとうじょうしーん,797,822,23
誇張しすぎた沢田研二,こちょうしすぎたさわだけんじ,822,862,23
九官鳥がむりやりおぼえさせられた桃太郎,きゅうかんちょうがむりやりおぼえさせられたももたろう,862,925,23
爬虫類の行きそうで行かないやつ,はちゅうるいのいきそうでいかないやつ,925,968,23
ぐうたらな猫,ぐうたらなねこ,968,1009,23
